번호,지역,회사명,전화번호,생산품,공장대표주소
118,서대구산업단지,(주)신흥환경금속,053-552-3124,"금, 은",대구광역시 서구 평리로35길 65-1 (중리동)
119,서대구산업단지,평화산업,053-552-7088,운동복 등,"대구광역시 서구 평리로35길 14 (중리동, 퀸스로드)"
120,서대구산업단지,아리아,053-552-7429,"이불,패드,베개,방석",대구광역시 서구 평리로35길 37 (중리동)
121,서대구산업단지,일심,053-552-9103,자동차부품(린게지 및 레찌),대구광역시 서구 와룡로90길 39 (이현동)
122,서대구산업단지,화성정밀기계,053-553-0657,햇다기,"대구광역시 서구 국채보상로 90 (중리동, 화성정밀) (총 2 필지)"
123,서대구산업단지,미래제판,053-553-1701,철로라 가공,대구광역시 서구 와룡로70길 43 (중리동)
124,서대구산업단지,유한메디칼,053-553-2100,약포장기,"대구광역시 서구 국채보상로 38-10 (중리동, 성팀제침공업사)"
125,서대구산업단지,미다스캐스트,053-553-2246,"회주철,구상흑연주철","대구광역시 서구 평리로35길 13-12 (중리동, 태백주철)"
126,서대구산업단지,백산자카드(주),053-553-3496,폴리에스텔,"대구광역시 서구 평리로35길 85 (중리동, 백산무역)"
127,서대구산업단지,흥림아이앤씨,053-553-4094,나염 및 의류,"대구광역시 서구 와룡로99길 17, 18동 (이현동)"
128,서대구산업단지,국제옵티칼(주),053-553-4466,안경테,대구광역시 서구 평리로21길 23-6 (중리동)
129,서대구산업단지,고려산업,053-553-4855,메리야스,대구광역시 서구 문화로23길 14 (이현동)
130,서대구산업단지,미광화섬,053-553-5255,포대,대구광역시 서구 국채보상로20길 10-6 (중리동)
131,서대구산업단지,송화침장,053-553-9631,침장,대구광역시 서구 와룡로 434 (이현동)
132,서대구산업단지,장수섬유,053-554-0990,폴리에스터직물,대구광역시 서구 와룡로72길 15 (중리동)
133,서대구산업단지,삼호특수가공,053-554-4520,시트직물 가공,"대구광역시 서구 국채보상로7길 48 (이현동, 삼호특수가공공장)"
134,서대구산업단지,유한사,053-554-4949,"왼쇄물,다이어리","대구광역시 서구 평리로29길 15 (중리동, 유한사)"
135,서대구산업단지,제승YK,053-554-5009,본딩가공원단,대구광역시 서구 국채보상로7길 24 (이현동)
136,서대구산업단지,석림세라믹스,053-554-8668,세라믹,대구광역시 서구 와룡로 391-7 (중리동)
137,서대구산업단지,(주)대양,053-554-9993,"기계부품,자동차부품",대구광역시 서구 문화로 77 (이현동)
138,서대구산업단지,꿈앤들,053-555-0016,복합비료,"대구광역시 서구 와룡로 367 (중리동, 성양실업(주))"
139,서대구산업단지,세화섬유,053-555-1133,셔츠,"대구광역시 서구 와룡로75길 14 (중리동, 세화어페럴)"
140,서대구산업단지,(주)이화환경,053-555-2126,산업공해방지기기,"대구광역시 서구 와룡로83길 13 (이현동, (주)이화환경)"
141,서대구산업단지,동원파이프(주),053-555-2311,강관,"대구광역시 서구 북비산로6길 28 (이현동, 동원파이프(주))"
142,서대구산업단지,대영일렉트론,053-555-2347,"CCTV관련장비,경관조명폴,LED조명",대구광역시 서구 와룡로72길 37-10 (중리동)
143,서대구산업단지,(주)어반홈,053-555-2888,침구류,대구광역시 서구 와룡로69길 22 (중리동)
144,서대구산업단지,영하우스,053-555-2888,침구,대구광역시 서구 와룡로69길 24 (중리동)
145,서대구산업단지,부경자동화,053-555-2976,자동화 시스템(기계),대구광역시 서구 문화로7길 28 (이현동)
146,서대구산업단지,경일화학,053-555-2980,건축용 스티로폼,"대구광역시 서구 와룡로 428-5 (이현동, 경일화학)"
147,서대구산업단지,오대산업(주),053-555-4072,자동차부품,대구광역시 서구 국채보상로19길 20 (이현동)
148,서대구산업단지,광동금속,053-555-4855,고압밸브부품,대구광역시 서구 국채보상로20길 31 (중리동)
149,서대구산업단지,태경도금,053-555-5105,플라스틱 도금,대구광역시 서구 국채보상로14길 29-8 (중리동)
150,서대구산업단지,우일,053-555-5599,오토바이 부품,대구광역시 서구 와룡로87길 88 (이현동)
151,서대구산업단지,유일테크,053-555-5685,금형,대구광역시 서구 국채보상로20길 10 (중리동)
152,서대구산업단지,무성철강,053-555-5989,절삭가공 부분품,대구광역시 서구 와룡로73길 7 (중리동)
153,서대구산업단지,창영엠보,053-555-6239,폴리에스텔,"대구광역시 서구 문화로17길 21 (이현동, 창녕엠보)"
154,서대구산업단지,이화제면,053-555-6446,"화학솜,목화솜","대구광역시 서구 국채보상로7길 20 (이현동, 이화제면)"
155,서대구산업단지,보광니트,053-555-7366,장식용섬유,"대구광역시 서구 와룡로98길 41 (이현동, 한유카경정비)"
156,서대구산업단지,청운기계,053-555-8060,섬유기계부품,대구광역시 서구 문화로 20 (이현동)
157,서대구산업단지,우남침장,053-555-8501,침구류,대구광역시 서구 와룡로70길 40-1 (중리동)
158,서대구산업단지,아이에스테크,053-555-9260,"자동차 부품(브레이크,휠실린더,피스톤)",대구광역시 서구 국채보상로2길 29 (중리동)
159,서대구산업단지,보천텍스피아,053-555-9511,폴리에스터,"대구광역시 서구 와룡로99길 17, 13동 (이현동)"
160,서대구산업단지,(주)진원이엔지,053-556-0113,"바란스측정기계(변량검사,측정기)","대구광역시 서구 와룡로 385-8 (중리동, 진원)"
161,서대구산업단지,(주)에너지뱅크,053-556-0329,축열조,대구광역시 서구 국채보상로 45-13 (이현동)
162,서대구산업단지,대구신소재 제2공장,053-556-1365,초경합금소재 ,대구광역시 서구 국채보상로7길 42-11 (이현동)
163,서대구산업단지,대구신소재,053-556-1365,초경합금,"대구광역시 서구 와룡로83길 15 (이현동, 대구신소재)"
164,서대구산업단지,(주)대광기공,053-556-2080,"금속조립품,농업용수관련 기계","대구광역시 서구 문화로14길 22 (이현동, 내근금속)"
165,서대구산업단지,삼현산업,053-556-4986,도금(자동차부품),대구광역시 서구 와룡로83길 5-1 (이현동)
166,서대구산업단지,풍국산업(주),053-556-5001,정미,대구광역시 서구 와룡로90길 64 (이현동)
167,서대구산업단지,엠제이 블라인드 ,053-556-5300,"블라인드, 롤스크린",대구광역시 서구 와룡로90길 26 (이현동)
168,서대구산업단지,삼화식품(주),053-556-5501,간장,"대구광역시 서구 와룡로 343 (중리동, 삼화식품)"
169,서대구산업단지,(주)대림스틸,053-556-5579,철판,대구광역시 서구 와룡로 443 (이현동)
170,서대구산업단지,미주오토텍(주) 대구1공장,053-556-6171,비주거용건물임대업,"대구광역시 서구 와룡로 490 (이현동, 미주금속)"
171,서대구산업단지,유승기계제작소,053-556-6245,탈수기,"대구광역시 서구 와룡로90길 18-5 (이현동, 유승기계제작소)"
172,서대구산업단지,삼진염공,053-556-6674,섬유염색,대구광역시 서구 북비산로6길 5 (이현동)
173,서대구산업단지,대우산업사,053-556-7042,"자동차부품,가구부",대구광역시 서구 국채보상로21길 11 (이현동)
174,서대구산업단지,형제금속산업(주),053-556-8391,자동차용금형,대구광역시 서구 문화로14길 6 (이현동)
175,서대구산업단지,제라(주),053-556-9700,버티칼블라인드,대구광역시 서구 문화로23길 13 (이현동)
176,서대구산업단지,주식회사 한마당,053-557-0006,돼지부산물,대구광역시 서구 문화로7길 24 (이현동)
177,서대구산업단지,대성산업가스(주),053-557-0034,고압가스,대구광역시 서구 와룡로 430 (이현동)
178,서대구산업단지,(주)보국섬유,053-557-0526,면직물,"대구광역시 서구 국채보상로21길 15 (이현동, 정현물산(주))"
179,서대구산업단지,한성강건,053-557-0757,방화문,"대구광역시 서구 평리로21길 25 (중리동, 한성방화문)"
180,서대구산업단지,한빛,053-557-1693,침구류,대구광역시 서구 와룡로66길 13-2 (중리동)
181,서대구산업단지,세진테크,053-557-2589,식품가공기계,대구광역시 서구 와룡로70길 16-3 (중리동)
182,서대구산업단지,(주)유창롤,053-557-2643,"스판드릴,M-BAR","대구광역시 서구 문화로21길 30 (이현동, 유창수출(주))"
183,서대구산업단지,신원정밀공업사,053-557-2966,"편직기바늘, 선박실린더 부품","대구광역시 서구 평리로33길 30 (중리동, 대구내화)"
184,서대구산업단지,일출산업사,053-557-3008,자동차부품,대구광역시 서구 국채보상로5길 15 (이현동)
185,서대구산업단지,한국알미늄벤딩,053-557-4600,알루미늄 벤딩,대구광역시 서구 와룡로 435 (이현동)
186,서대구산업단지,(주)청수,053-557-4900,여과기시스템,"대구광역시 서구 와룡로72길 8 (중리동, 정화수출포장)"
187,서대구산업단지,(주)경동세라텍,053-557-6100,세라믹 제품,대구광역시 서구 국채보상로14길 32 (중리동)
188,서대구산업단지,(주)태극식품,053-557-6464,단체급식,대구광역시 서구 국채보상로 21 (이현동)
189,서대구산업단지,(주)대성도어몰딩,053-557-8750,몰딩(목재),대구광역시 서구 문화로23길 29 (이현동)
190,서대구산업단지,대성도어,053-557-8750,ABS도어,대구광역시 서구 이현동 42-367 번지
191,서대구산업단지,신라산업,053-557-9125,임연사,대구광역시 서구 평리로35길 81 (중리동)
192,서대구산업단지,(주)한국파일,053-557-9281,염사,대구광역시 서구 국채보상로 20 (중리동)
193,서대구산업단지,(주)신광타올,053-557-9992,타올,대구광역시 서구 와룡로69길 6 (중리동)
194,서대구산업단지,삼우금속,053-558-1550,자동차부품,대구광역시 서구 와룡로69길 60-7 (중리동)
195,서대구산업단지,세일정밀,053-558-2264,자동차부품,"대구광역시 서구 국채보상로 45-11 (이현동, 세일정밀)"
196,서대구산업단지,삼익양말,053-558-3389,양말,"대구광역시 서구 와룡로84길 17 (이현동, 하이트공장대구지점)"
197,서대구산업단지,(주)모든창,053-558-3509,"커튼,블라인드","대구광역시 서구 와룡로65길 22, A동 지하 112호 (중리동, 태백)"
198,서대구산업단지,삼화실업,053-558-4319,폴리에스텔,대구광역시 서구 국채보상로20길 10-5 (중리동)
199,서대구산업단지,세영섬유,053-558-8822,"나일론,폴리에스터직물","대구광역시 서구 와룡로87길 15 (이현동, 세영섬유)"
200,서대구산업단지,부광직물,053-559-2412,망사,대구광역시 서구 평리로35길 84 (중리동)
201,서대구산업단지,화남공업,053-559-2900,"원단건조기, 직기롤러",대구광역시 서구 와룡로97길 5 (이현동)
202,서대구산업단지,명문산업,053-559-4511,자동차부품 풀리(전착),"대구광역시 서구 국채보상로21길 26 (이현동, 명문기업)"
203,서대구산업단지,제성양말,053-559-4839,양말,"대구광역시 서구 평리로35길 5-12 (중리동, 삼양석유)"
204,서대구산업단지,(주)디에스에스텍스타일,053-559-7554,"POLYESTER, 날염",대구광역시 서구 문화로3길 14 (이현동)
205,서대구산업단지,경창산업(주),053-560-0201,자동차용케이블,"대구광역시 서구 국채보상로 104 (중리동, 경창산업(주))"
206,서대구산업단지,송마디엠씨(주),053-560-6100,"CNC선반,자동차부품(안전벨트,핸들,에어백)",대구광역시 서구 와룡로66길 8 (중리동)
207,서대구산업단지,(주)키토랑,053-560-9911,포장육,대구광역시 서구 와룡로73길 50 (중리동)
208,서대구산업단지,대현산업,053-561-3731,커텐지,"대구광역시 서구 와룡로75길 24 (중리동, 대현산업)"
209,서대구산업단지,경명섬유,053-561-4150,폴리에스텔,"대구광역시 서구 문화로21길 34 (이현동, 경명섬유)"
210,서대구산업단지,태평양금속,053-561-4433,자동차부품열처리,"대구광역시 서구 문화로3길 10 (이현동, 대평양금속)"
211,서대구산업단지,화성금속,053-561-4948,자동차부품,"대구광역시 서구 와룡로70길 31 (중리동, 화성금속)"
212,서대구산업단지,티케이금속,053-561-6651,콘베어부품,대구광역시 서구 국채보상로20길 20-5 (중리동)
213,서대구산업단지,(주)하나텍스 대구공장,053-562-0032,블라인드,대구광역시 서구 와룡로98길 17 (이현동)
214,서대구산업단지,태성분전반,053-562-0811,분전반,대구광역시 서구 북비산로 78 (이현동)
215,서대구산업단지,대흥산업사,053-562-1281,"재봉사,퀄팅사",대구광역시 서구 국채보상로5길 12 (이현동)
216,서대구산업단지,경북산소(주),053-562-1614,산업용가스,"대구광역시 서구 와룡로100길 54 (이현동, 경북산소(주))"
217,서대구산업단지,(주)성진직물,053-562-2100,나일론,"대구광역시 서구 와룡로75길 15 (중리동, 성진직물)"
218,서대구산업단지,아이테크,053-562-2463,안경테코팅,대구광역시 서구 평리로33길 20 (중리동)
219,서대구산업단지,(주)케이에스케이 대구지점,053-562-3410,섬유제품전수검사 및 정포,대구광역시 서구 와룡로70길 16-6 (중리동)
220,서대구산업단지,동광화섬,053-562-3428,폴리에스텔사,"대구광역시 서구 평리로35길 25 (중리동, 승진화섬)"
221,서대구산업단지,(주)구띠,053-562-4933,섬유정포가공,대구광역시 서구 문화로21길 10 (이현동)
222,서대구산업단지,성진산업사,053-562-5277,커텐지,"대구광역시 서구 와룡로84길 25 (이현동, 하이트공장대구지점)"
223,서대구산업단지,중앙텍스,053-562-6323,컴퓨터자수제품,"대구광역시 서구 국채보상로10길 6 (중리동, 중앙자수)"
224,서대구산업단지,금호금속,053-562-6822,"와이어로프고리,밸브,주조품",대구광역시 서구 와룡로70길 16-5 (중리동)
225,서대구산업단지,신용종합주방,053-562-6924,주방기구,대구광역시 서구 와룡로65길 10 (중리동)
226,서대구산업단지,미키코리아(주),053-562-7500,휠체어,"대구광역시 서구 와룡로66길 35 (중리동, 미키코리아)"
227,서대구산업단지,경원인더스트리(주),053-562-8111,섬유기계부품(종광),대구광역시 서구 와룡로66길 7-8 (중리동)
228,서대구산업단지,동천금속,053-563-0844,자동차부품,대구광역시 서구 국채보상로 38-12 (중리동)
229,서대구산업단지,묘산지공사,053-563-1206,한지원단제품,대구광역시 서구 와룡로72길 37-2 (중리동)
230,서대구산업단지,(주)미앤부티 제2공장,053-563-1320,폴리에스테르,대구광역시 서구 와룡로73길 29 (중리동)
231,서대구산업단지,(주)하나특수제판,053-563-1526,제판,대구광역시 서구 국채보상로6길 12-14 (중리동)
232,서대구산업단지,(주)홍창 제2공장,053-563-2255,"너트,철사",대구광역시 서구 평리로33길 17 (중리동)
